Executable,DllName
DisplaySwitch.exe,UxTheme.dll
DisplaySwitch.exe,dwmapi.dll
DisplaySwitch.exe,WINSTA.dll
DisplaySwitch.exe,DUser.dll
djoin.exe,netprovfw.dll
djoin.exe,netutils.dll
djoin.exe,logoncli.dll
djoin.exe,wkscli.dll
dmcertinst.exe,msvcp110_win.dll
dmcertinst.exe,omadmapi.dll
dmcertinst.exe,certenroll.dll
dmcertinst.exe,UMPDC.dll
dmcertinst.exe,ncrypt.dll
dmcfghost.exe,DMPushProxy.dll
dmcfghost.exe,dsclient.dll
dmcfghost.exe,omadmapi.dll
dmcfghost.exe,dmxmlhelputils.dll
dmclient.exe,WINHTTP.dll
dmclient.exe,XmlLite.dll
DmNotificationBroker.exe,DMCmnUtils.dll
DmNotificationBroker.exe,DUI70.dll
DmNotificationBroker.exe,Windows.UI.Immersive.dll
DmOmaCpMo.exe,omadmapi.dll
DmOmaCpMo.exe,DMProcessXMLFiltered.dll
DmOmaCpMo.exe,dsclient.dll
DmOmaCpMo.exe,dmEnrollEngine.DLL
DmOmaCpMo.exe,msvcp110_win.dll
dnscacheugc.exe,IPHLPAPI.DLL
dnscmd.exe,ncrypt.dll
dnscmd.exe,NETAPI32.dll
dnscmd.exe,NTDSAPI.dll
dnscmd.exe,DNSAPI.dll
dpapimig.exe,samcli.dll
dpapimig.exe,netutils.dll
dpapimig.exe,DUI70.dll
driverquery.exe,SspiCli.dll
driverquery.exe,MPR.dll
driverquery.exe,framedynos.dll
driverquery.exe,VERSION.dll
driverquery.exe,srvcli.dll
driverquery.exe,netutils.dll
dsacls.exe,logoncli.dll
dsacls.exe,netutils.dll
dsacls.exe,NTDSAPI.dll
dsadd.exe,ACTIVEDS.dll
dsadd.exe,NTDSAPI.dll
dsadd.exe,NETAPI32.dll
dsdbutil.exe,DSROLE.dll
dsdbutil.exe,srvcli.dll
dsdbutil.exe,netutils.dll
dsdbutil.exe,ESENT.dll
dsdbutil.exe,NTDSAPI.dll
dsdbutil.exe,VSSAPI.DLL
dsget.exe,ACTIVEDS.dll
dsget.exe,NTDSAPI.dll
dsget.exe,NETAPI32.dll
dsmgmt.exe,NTDSAPI.dll
dsmgmt.exe,logoncli.dll
dsmgmt.exe,netutils.dll
dsmgmt.exe,MPR.dll
dsmgmt.exe,SAMLIB.dll
dsmod.exe,ACTIVEDS.dll
dsmove.exe,ACTIVEDS.dll
dsquery.exe,ATL.DLL
dsquery.exe,dsprop.dll
dsquery.exe,NTDSAPI.dll
dsquery.exe,NETAPI32.dll
dsregcmd.exe,dsreg.dll
dsregcmd.exe,WINHTTP.dll
dsregcmd.exe,WININET.dll
dsregcmd.exe,ncrypt.dll
dsregcmd.exe,USERENV.dll
dsregcmd.exe,Secur32.dll
dsregcmd.exe,wkscli.dll
dsregcmd.exe,netutils.dll
dsrm.exe,ACTIVEDS.dll
dsrm.exe,Secur32.dll
dstokenclean.exe,dsclient.dll
dwm.exe,CoreUIComponents.dll
DXCap.exe,XmlLite.dll
DXCap.exe,d3d11.dll
DXCap.exe,dbghelp.dll
dxgiadaptercache.exe,d3d12.dll
dxgiadaptercache.exe,d3d11.dll
Dxpserver.exe,PROPSYS.dll
Dxpserver.exe,dwmapi.dll
Dxpserver.exe,XmlLite.dll
Dxpserver.exe,msi.dll
EaseOfAccessDialog.exe,OLEACC.dll
EaseOfAccessDialog.exe,DUser.dll
easinvoker.exe,AUTHZ.dll
easinvoker.exe,samcli.dll
easinvoker.exe,netutils.dll
easinvoker.exe,SAMLIB.dll
EASPolicyManagerBrokerHost.exe,policymanager.dll
EDPCleanup.exe,policymanager.dll
EDPCleanup.exe,DMCmnUtils.dll
EDPCleanup.exe,FirewallAPI.dll
EDPCleanup.exe,SspiCli.dll
EDPCleanup.exe,wkscli.dll
EDPCleanup.exe,netutils.dll
EDPCleanup.exe,profapi.dll
EduPrintProv.exe,SspiCli.dll
EduPrintProv.exe,policymanager.dll
EduPrintProv.exe,deviceassociation.dll
efsui.exe,EFSADU.dll
EhStorAuthn.exe,UxTheme.dll
EoAExperiences.exe,d2d1.dll
esentutl.exe,ESENT.dll
eudcedit.exe,MFC42u.dll
eventcreate.exe,MPR.dll
eventcreate.exe,SspiCli.dll
eventcreate.exe,netutils.dll
eventcreate.exe,srvcli.dll
expand.exe,Cabinet.dll
extrac32.exe,Cabinet.dll
fhmanagew.exe,fhsvcctl.dll
FileHistory.exe,UxTheme.dll
filescrn.exe,MFC42u.dll
filescrn.exe,ATL.DLL
filescrn.exe,SrmTrace.DLL
finger.exe,MSWSOCK.dll
fltMC.exe,FLTLIB.DLL
forfiles.exe,VERSION.dll
fsavailux.exe,IfsUtil.dll
FsIso.exe,IumSdk.dll
fsquirt.exe,MSWSOCK.dll
fsquirt.exe,bthprops.cpl
fsquirt.exe,POWRPROF.dll
