Executable,DllName
sihost.exe,CoreMessaging.dll
slui.exe,WINBRAND.dll
slui.exe,WTSAPI32.dll
slui.exe,SLC.dll
SndVol.exe,UxTheme.dll
SndVol.exe,dwmapi.dll
SnippingTool.exe,UxTheme.dll
SnippingTool.exe,OLEACC.dll
SnippingTool.exe,dwmapi.dll
SnippingTool.exe,msdrm.dll
SpaceAgent.exe,NETAPI32.dll
Spectrum.exe,SpectrumSyncClient.dll
spoolsv.exe,DNSAPI.dll
sppsvc.exe,CRYPTXML.dll
sppsvc.exe,XmlLite.dll
sppsvc.exe,pkeyhelper.dll
SrTasks.exe,SPP.dll
SrTasks.exe,SRCLIENT.dll
SrTasks.exe,SRCORE.dll
storrept.exe,MFC42u.dll
storrept.exe,ATL.DLL
storrept.exe,SrmTrace.DLL
SyncHost.exe,PROPSYS.dll
SyncHost.exe,WinSync.dll
SysResetErr.exe,DUI70.dll
SysResetErr.exe,WDSCORE.dll
systeminfo.exe,MPR.dll
systeminfo.exe,VERSION.dll
systeminfo.exe,SspiCli.dll
SystemPropertiesAdvanced.exe,SYSDM.CPL
SystemPropertiesComputerName.exe,SYSDM.CPL
SystemPropertiesDataExecutionPrevention.exe,SYSDM.CPL
SystemPropertiesHardware.exe,SYSDM.CPL
SystemPropertiesPerformance.exe,SYSDM.CPL
SystemPropertiesProtection.exe,SYSDM.CPL
SystemPropertiesRemote.exe,SYSDM.CPL
systemreset.exe,ResetEngine.dll
SystemSettingsAdminFlows.exe,SystemSettingsThresholdAdminFlowUI.dll
SystemSettingsAdminFlows.exe,newdev.dll
SystemSettingsAdminFlows.exe,DUI70.dll
SystemSettingsAdminFlows.exe,logoncli.dll
SystemSettingsAdminFlows.exe,DismApi.DLL
SystemSettingsAdminFlows.exe,Wldp.dll
SystemSettingsAdminFlows.exe,timesync.dll
SystemSettingsAdminFlows.exe,Bcp47Langs.dll
SystemSettingsRemoveDevice.exe,DUI70.dll
tabcal.exe,HID.DLL
tabcal.exe,NInput.dll
takeown.exe,SspiCli.dll
TapiUnattend.exe,WDSCORE.dll
tar.exe,archiveint.dll
taskkill.exe,VERSION.dll
taskkill.exe,MPR.dll
taskkill.exe,framedynos.dll
taskkill.exe,dbghelp.dll
taskkill.exe,SspiCli.dll
taskkill.exe,srvcli.dll
taskkill.exe,netutils.dll
tasklist.exe,VERSION.dll
tasklist.exe,MPR.dll
tasklist.exe,framedynos.dll
tasklist.exe,dbghelp.dll
tasklist.exe,SspiCli.dll
tasklist.exe,srvcli.dll
tasklist.exe,netutils.dll
Taskmgr.exe,UxTheme.dll
Taskmgr.exe,credui.dll
Taskmgr.exe,DUser.dll
Taskmgr.exe,pdh.dll
Taskmgr.exe,dxcore.dll
Taskmgr.exe,dxgi.dll
Taskmgr.exe,d3d11.dll
Taskmgr.exe,d3d12.dll
tcmsetup.exe,TAPI32.dll
telnet.exe,Security.dll
TieringEngineService.exe,ESENT.dll
TieringEngineService.exe,CLUSAPI.dll
timeout.exe,VERSION.dll
TokenBrokerCookies.exe,WININET.dll
TpmTool.exe,TpmCoreProvisioning.DLL
TpmTool.exe,tbs.dll
tpmvscmgrsvr.exe,profapi.dll
tpmvscmgrsvr.exe,WinSCard.dll
tracerpt.exe,XmlLite.dll
tracerpt.exe,dbghelp.dll
tracerpt.exe,wevtapi.dll
tracerpt.exe,pdh.dll
tscon.exe,WINSTA.dll
tsdiscon.exe,WINSTA.dll
tskill.exe,WINSTA.dll
tttracer.exe,TTDRecord.dll
typeperf.exe,pdh.dll
unlodctr.exe,loadperf.dll
unregmp2.exe,VERSION.dll
upfc.exe,XmlLite.dll
UsoClient.exe,UpdatePolicy.dll
usocoreworker.exe,profapi.dll
usocoreworker.exe,UMPDC.dll
usocoreworker.exe,omadmapi.dll
usocoreworker.exe,dmiso8601utils.dll
usocoreworker.exe,XmlLite.dll
usocoreworker.exe,UpdatePolicy.dll
usocoreworker.exe,DMOleAutUtils.dll
UtcDecoderHost.exe,USERENV.dll
Utilman.exe,OLEACC.dll
Utilman.exe,DUser.dll
Utilman.exe,DUI70.dll
VaultCmd.exe,USERENV.dll
VaultCmd.exe,VAULTCLI.dll
vds.exe,OSUNINST.dll
vdsldr.exe,ATL.DLL
vdsldr.exe,vdsutil.dll
verifiergui.exe,VERSION.dll
verifiergui.exe,MFC42u.dll
VsGraphicsDesktopEngine.exe,VERSION.dll
VsGraphicsDesktopEngine.exe,XmlLite.dll
VsGraphicsDesktopEngine.exe,webservices.dll
VsGraphicsDesktopEngine.exe,d3d11.dll
VsGraphicsDesktopEngine.exe,d2d1.dll
VsGraphicsDesktopEngine.exe,DEVOBJ.dll
VsGraphicsRemoteEngine.exe,d3d11.dll
VsGraphicsRemoteEngine.exe,XmlLite.dll
VsGraphicsRemoteEngine.exe,webservices.dll
VsGraphicsRemoteEngine.exe,d2d1.dll
VsGraphicsRemoteEngine.exe,dxgi.dll
vssadmin.exe,ATL.DLL
vssadmin.exe,VSSAPI.DLL
vssadmin.exe,VssTrace.DLL
VSSVC.exe,DEVOBJ.dll
VSSVC.exe,VSSAPI.DLL
VSSVC.exe,VssTrace.DLL
VSSVC.exe,AUTHZ.dll
VSSVC.exe,VirtDisk.dll
VSSVC.exe,bcd.dll
w32tm.exe,IPHLPAPI.DLL
w32tm.exe,logoncli.dll
w32tm.exe,netutils.dll
w32tm.exe,NTDSAPI.dll
waitfor.exe,MPR.dll
waitfor.exe,VERSION.dll
waitfor.exe,srvcli.dll
waitfor.exe,netutils.dll
waitfor.exe,SspiCli.dll
wbadmin.exe,credui.dll
wbengine.exe,VirtDisk.dll
wbengine.exe,bcd.dll
wbengine.exe,SPP.dll
wbengine.exe,NETAPI32.dll
wbengine.exe,XmlLite.dll
wbengine.exe,CLUSAPI.dll
wbengine.exe,wer.dll
wecutil.exe,WecApi.dll
WerFault.exe,CRYPTSP.dll
WerFault.exe,wer.dll
WerFault.exe,dbghelp.dll
WerFault.exe,faultrep.dll
WerFaultSecure.exe,faultrep.dll
WerFaultSecure.exe,wer.dll
wermgr.exe,wer.dll
wextract.exe,Cabinet.dll
wextract.exe,VERSION.dll
WFS.exe,MFC42u.dll
WFS.exe,WINSPOOL.DRV
WFS.exe,UxTheme.dll
WFS.exe,WINMM.dll
WFS.exe,credui.dll
WFS.exe,ATL.DLL
where.exe,VERSION.dll
whoami.exe,VERSION.dll
whoami.exe,AUTHZ.dll
whoami.exe,SspiCli.dll
whoami.exe,wkscli.dll
whoami.exe,netutils.dll
wiaacmgr.exe,ScanSetting.DLL
wiawow64.exe,ScanSetting.DLL
wifitask.exe,UMPDC.dll
wifitask.exe,HTTPAPI.dll
wifitask.exe,wlanapi.dll
wifitask.exe,webservices.dll
wifitask.exe,IPHLPAPI.DLL
wimserv.exe,Cabinet.dll
WindowsActionDialog.exe,msvcp110_win.dll
WindowsActionDialog.exe,DUI70.dll
winrs.exe,WsmSvc.DLL
WinSAT.exe,VERSION.dll
WinSAT.exe,WINMM.dll
WinSAT.exe,d3d10_1.dll
WinSAT.exe,d3d10.dll
wkspbroker.exe,RADCUI.dll
wksprt.exe,webservices.dll
wksprt.exe,WININET.dll
wlbs.exe,wevtapi.dll
wlrmdr.exe,SspiCli.dll
wlrmdr.exe,DUI70.dll
WMPDMC.exe,UxTheme.dll
WMPDMC.exe,wmpdui.dll
WMPDMC.exe,OLEACC.dll
WMPDMC.exe,dwmapi.dll
WMPDMC.exe,WindowsCodecs.dll
WorkFolders.exe,dmEnrollEngine.DLL
WorkFolders.exe,policymanager.dll
WpcMon.exe,USERENV.dll
WpcMon.exe,samcli.dll
wpnpinst.exe,WINSPOOL.DRV
wpnpinst.exe,Cabinet.dll
wpr.exe,WindowsPerformanceRecorderControl.dll
wscadminui.exe,WSCAPI.dll
wscript.exe,VERSION.dll
WSManHTTPConfig.exe,WsmSvc.DLL
wsmprovhost.exe,WsmSvc.DLL
WSReset.exe,wevtapi.dll
wusa.exe,dpx.dll
wusa.exe,WTSAPI32.dll
WWAHost.exe,profapi.dll
WWAHost.exe,iertutil.dll
xcopy.exe,IfsUtil.dll
